,job_title,salary,working_years,education,company,company_address,industry,is_public,employee_numbers,job_detail_url
246,数据分析,6k-12k,1-3年,大专,恒信永利,深圳 南山区 西丽,互联网金融,不需要融资,1000-9999人,https://www.zhipin.com/job_detail/d918c8cd9fa259121nF92tm1EFY~.html
74,运营数据分析,7k-12k,1-3年,大专,弘华中威,深圳 南山区 科技园,电子商务,未融资,20-99人,https://www.zhipin.com/job_detail/d782bf3e58a1f4671Hd72N27EFs~.html
251,亚马逊数据分析,4k-8k,1-3年,大专,华翰物流(深圳)公司,深圳 龙岗区 平湖,物流/仓储,不需要融资,100-499人,https://www.zhipin.com/job_detail/bbeecf0f7ce416e21nF90t--EVs~.html
167,数据分析,4k-6k,经验不限,大专,华润万家有限公司,深圳 罗湖区 黄贝岭,生活服务,未融资,10000人以上,https://www.zhipin.com/job_detail/2fff56ad8053aeaa1HZ929W6GFU~.html
192,数据分析师,20-40K,经验不限,本科,华为,深圳 龙岗区 万科城,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/5d6ff8c995bd350e1Xd82Nm8Fls~.html
234,数据分析师/数据架构师/数据挖掘,16k-30k,5-10年,本科,华为,深圳 龙岗区 坂田,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/4796c150d43506001HB62t69GFo~.html
241,数据分析,20k-21k,5-10年,本科,华为,深圳 龙岗区 坂田,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/2363a9f02a00ecf41XB83t-9FlA~.html
239,数据分析师,15k-26k,3-5年,本科,华为技术有限公司,深圳 龙岗区 坂田,计算机软件,不需要融资,10000人以上,https://www.zhipin.com/job_detail/5e69c76c507167561XB52dS0FFY~.html
25,数据分析师,10k-19k,1-3年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/0f558fe705be5ade1XJ93NS0FVQ~.html
33,高级数据分析师,15k-30k,3-5年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/6c58c29c62da89631XFz3du1FlY~.html
173,数据分析,15k-25k,5-10年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/3890efa3da1cfcf91XR9396-GVE~.html
175,数据分析师,25-30K,5-10年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/2805a21a49c5397d1HF539i7GFI~.html
218,数据分析师,8-15K,1-3年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/d0d8566ffbc946e61XZ839i-EFc~.html
228,高级数据分析师,20-25K,3-5年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/e1ba816cad7548541HBz29-8FVU~.html
229,数据分析师,15-22K,5-10年,本科,环球易购,深圳 南山区 南山中心,电子商务,已上市,1000-9999人,https://www.zhipin.com/job_detail/482e1d293bb986731HR62Ny-FVI~.html
