,0,1,2,3,4,5,6,7,8,9,10,11,12,13
77,5574590,深圳,腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,"移动互联网 ,游戏",上市公司,南山区,本科,开发|测试|运维类,2019-05-09,29912-数据分析-运营开发,20k-40k,3-5年
78,5726171,深圳,深圳市和讯华谷信息技术有限公司,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,"移动互联网,数据服务",上市公司,南山区,本科,产品|需求|项目类,1天前发布,数据分析主管,25k-35k,3-5年
79,4230035,深圳,深圳白骑士大数据有限公司,"['专项奖金', '大数据', '反欺诈', '带薪年假']",50-150人,"企业服务,金融",A轮,南山区,硕士,开发|测试|运维类,2019-05-05,数据分析总监,38k-65k,5-10年
80,5583653,深圳,小黄狗环保科技有限公司,[],2000人以上,"移动互联网,生活服务",D轮及以上,南山区,本科,产品|需求|项目类,2019-04-29,数据分析工程师,15k-30k,3-5年
81,5558453,深圳,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,"移动互联网,电子商务",不需要融资,南山区,本科,开发|测试|运维类,2019-05-09,QYN-数据分析工程师,18k-30k,5-10年
82,3637090,深圳,上海海万信息科技股份有限公司,[],500-2000人,"移动互联网,金融",不需要融资,福田区,本科,开发|测试|运维类,1天前发布,数据分析师,10k-15k,3-5年
83,5163293,深圳,深圳光汇石油集团股份有限公司,"['股票期权', '带薪年假', '五险一金', '午餐补助']",500-2000人,其他,上市公司,福田区,本科,产品|需求|项目类,2019-04-18,数据分析经理,15k-30k,3-5年
84,4540599,深圳,海南新浪爱问普惠科技有限公司,"['午餐补助', '通讯津贴', '带薪年假', '交通补助']",500-2000人,金融,未融资,南山区,本科,产品|需求|项目类,3天前发布,高级数据分析师,25k-30k,5-10年
85,5754130,深圳,万科物业发展股份有限公司,"['社区o2o', '原始股权', '弹性工作制', '互联网+']",2000人以上,"O2O,生活服务",不需要融资,福田区,本科,开发|测试|运维类,2019-05-08,高级数据分析师,15k-30k,3-5年
86,5583234,深圳,万兴科技股份有限公司,"['股票期权', '骨干配车', '创业平台', '餐饮补助']",500-2000人,移动互联网,上市公司,南山区,本科,产品|需求|项目类,2019-05-06,高级数据分析师,13k-20k,3-5年
87,5522492,深圳,沃尔玛（中国）投资有限公司,[],2000人以上,"电子商务,其他",上市公司,福田区,本科,产品|需求|项目类,2019-04-24,SQL/VBA 数据分析,10k-15k,1-3年
88,5815563,深圳,深圳市丰巢科技有限公司,"['五险一金', '通讯津贴', '交通补助', '带薪年假']",500-2000人,"移动互联网,O2O",A轮,南山区,本科,产品|需求|项目类,2019-05-05,高级数据分析师（派件业务）,20k-40k,5-10年
89,5418980,深圳,深圳马可孛罗科技有限公司,"['股票期权', '带薪年假', '绩效奖金', '年度旅游']",150-500人,旅游,A轮,南山区,硕士,产品|需求|项目类,2019-05-05,高级数据分析师,18k-35k,不限
90,5724949,深圳,深圳中业兴融互联网金融服务有限公司,"['带薪年假', '孝心基金', '股权激励', '约会假']",500-2000人,"金融,移动互联网",A轮,南山区,本科,产品|需求|项目类,2019-05-09,数据分析师,12k-22k,3-5年
91,5523134,深圳,深圳市一面网络技术有限公司,"['技能培训', '海归精英团队', 'Geek分享', '绩效奖金']",50-150人,"移动互联网,数据服务",A轮,南山区,本科,产品|需求|项目类,2019-05-09,数据分析师(商业方向，初级）,8k-15k,1年以下
92,5860562,深圳,深圳市和讯华谷信息技术有限公司,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,"移动互联网,数据服务",上市公司,南山区,本科,产品|需求|项目类,2019-05-09,数据分析专员,8k-15k,1-3年
